taxonomy_row,requirement_id,requirement_name,subrequirement_id,subrequirement_name,definition,inputs,outputs,boundary,source_work_object
16,req_001,文献调研,sub_016,综合候选研究方法,围绕研究问题收集当前可用的方法及其适用条件，形成候选方法集合。,多个来源或结果、共同问题、来源质量和冲突处理规则,候选研究方法集合、来源关系、适用条件、时效和主要限制；验收要点：候选方法可追溯到有效来源，并区分一致、冲突和证据不足之处。,不做最终选型。,研究方案
17,req_001,文献调研,sub_017,评估方法适用性,根据研究问题、数据、资源和方法假设，评估单个候选方法在当前研究中的适用性。,候选方法、研究问题、数据条件、资源约束、方法假设和已有证据,适用、条件适用或不适用的判断，以及成立条件、证据和限制；验收要点：判断逐项对应已知数据、资源和方法前提。,不从多个候选中作出最终选择，不核验实验流程。,研究方案
18,req_001,文献调研,sub_018,选择研究方法,依据研究目标、数据、资源和约束，从已调研的候选方法中确定适用方法。,候选研究方法、选择标准、硬约束、适用性评价和比较证据,被选研究方法、选择理由、证据和未选项关键差异；验收要点：选择结论明确引用比较标准，且被选方法满足已知硬约束。,不负责后续代码实现、实验设计或运行。,研究方案
19,req_001,文献调研,sub_019,撰写文献调研报告,将调研协议、检索过程、文献证据、综合结论、研究空白和限制组织为可审阅文档。,文献调研协议、检索记录、证据追溯表、综合结论、研究空白和目标受众,结构完整、引用可追溯的文献调研报告；验收要点：报告说明检索与筛选方法，并区分证据一致、冲突、不足和调研限制。,不新增无证据支持的主张，不替代问题定义文档或完整论文写作。,文献与外部证据
20,req_002,问题定义,sub_020,澄清研究意图,将含混的研究想法转换为目的、对象、期望知识增量和成果用途明确的研究意图。,初始研究想法、研究背景、项目目标、提出者诉求和已有约束,澄清后的研究意图、目标知识、成果用途和待确认事项；验收要点：明确研究什么、为什么研究以及结果用于什么。,不检索或综合文献，不生成具体研究方法、实验步骤或项目计划。,科学问题
21,req_002,问题定义,sub_021,生成候选研究问题,根据研究意图、已有证据和研究空白，生成多个边界可说明且能够被研究的问题表述。,研究意图、研究空白、已有证据、研究对象、范围和项目约束,候选研究问题及各自关注点、适用范围和主要差异；验收要点：每项问题均明确对象、目标现象或关系，且不包含实施步骤。,不直接确定最终问题，不把研究方法或实验步骤写入问题。,科学问题
22,req_002,问题定义,sub_022,分解研究问题,将复杂研究问题拆分为研究对象、目标现象、关系、条件和必要子问题。,候选研究问题、研究意图、研究范围和分解规则,核心问题、子问题、组成要素和依赖关系；验收要点：子问题共同覆盖核心问题，且不重复、不遗漏关键关系。,不把项目任务、方法步骤或实验步骤当作研究子问题。,科学问题
23,req_002,问题定义,sub_023,定义核心概念,明确研究问题中关键概念和术语的含义、判定特征及适用边界。,研究问题、核心术语、理论依据、已有定义和使用语境,概念名称、定义、必要特征、正例、反例及近邻概念差异；验收要点：能够依据定义判断具体对象是否属于该概念。,不定义具体测量变量，不在不同位置使用相互冲突的定义。,科学问题
24,req_002,问题定义,sub_024,定义研究变量,明确自变量、因变量、控制变量及其操作化方式。,研究问题、研究假设、核心概念、使用目的、已有依据和约束,具有名称、角色、含义、边界、取值或测量规则的研究变量定义；验收要点：每个变量具有名称、取值或测量方式，并与研究假设对应。,不选择评价指标，不采集数据，不设计完整实验方案。,科学问题
25,req_002,问题定义,sub_025,识别问题前提,识别研究问题成立所依赖但尚未明确表达或验证的事实、因果、测量和适用性前提。,研究问题、变量定义、问题背景、已有证据和适用范围,问题前提、前提类型、依赖该前提的主张及前提失效影响；验收要点：明确区分已有证据支持、待验证和无法确认的前提。,不将隐含前提自动视为事实，不替代后续证据核验。,科学问题
26,req_002,问题定义,sub_026,提出研究假设,将研究目标表述为能够通过观察或实验支持或反驳的假设。,研究问题、理论或经验依据、研究变量、适用范围和内容约束,研究假设及其依据；验收要点：假设包含研究对象、可观察变量、预期关系、成立条件和可判定的反证条件。,探索性研究可不提出方向性假设；不负责设计具体实验。,科学问题
27,req_002,问题定义,sub_027,评估研究重要性,依据理论价值、现实影响、问题规模、受影响范围和解决必要性评价研究问题的重要程度。,候选研究问题、重要性标准、影响证据、受影响对象和参照问题,重要性等级或分项判断、依据、影响范围和主要限制；验收要点：理论价值与现实价值分别说明并可追溯到证据。,不把流行度、引用量或主观兴趣直接等同于重要性，不评价研究创新性。,科学问题
28,req_002,问题定义,sub_028,评估研究创新性,将研究想法与最相关已有工作比较，判断问题、方法或预期贡献的新颖程度。,待评估的研究问题、预期贡献、创新性标准、最近邻工作和比较证据,创新性等级或分项判断、最近邻工作、实质差异、公开先例和证据；验收要点：明确差异是否实质以及是否已有公开先例。,不负责检索和综合最近邻文献，不将表面措辞或参数差异直接视为创新，不预测投稿结果。,科学问题
29,req_002,问题定义,sub_029,评估研究可行性,根据现有证据、数据、方法、资源和时间约束，评估研究问题在当前条件下是否可解。,研究问题、已有证据、数据可用性、候选方法、资源、权限和时间约束,可行、条件可行或不可行的判断，以及成立条件、主要阻碍和关键未知项；验收要点：分别覆盖数据、方法、资源、时间和权限条件。,不评价问题的创新价值，不代替具体方法选择、实验设计或资源估算。,科学问题
30,req_002,问题定义,sub_030,识别研究伦理风险,识别研究对象、实验过程和成果使用中适用的伦理要求与风险。,研究问题、研究对象、数据来源、预期实验流程、成果用途和适用伦理规范,适用伦理要求、待审批事项、风险场景、风险等级及其依据；验收要点：风险能够对应到具体研究活动和适用规范。,不核验数据许可证，不执行数据脱敏、知情同意、伦理审批或风险处置流程。,科学问题
31,req_002,问题定义,sub_031,识别研究约束,识别研究问题必须满足的数据、资源、时间、权限、伦理、技术和组织约束。,研究问题、项目目标、历史决策、数据条件、资源条件、权限和时间要求,硬约束、软约束、约束来源、影响范围和待确认事项；验收要点：每项硬约束均能映射到受影响的问题要素。,不进行详细资源估算、任务排期、资源分配或风险处置。,科学问题
32,req_002,问题定义,sub_032,撰写问题定义文档,将研究意图、问题、概念、变量、假设、重要性、创新性、可行性和约束组织成可审阅文档。,已确认的问题定义要素、评价结果、证据依据、约束和目标受众,结构完整、边界明确、证据可追溯的问题定义文档；验收要点：问题、概念、变量、假设和评价结论之间不存在未说明的断链。,不扩写为完整研究方案、实验设计或项目实施计划，不增加无证据支持的主张。,科学问题
33,req_003,资源估算,sub_033,识别资源需求项,从研究方法、数据流程和实验设计中识别需要的计算、数据、人员、时间和外部服务资源。,研究方案、研究方法、数据流程、实验设计、交付要求和估算范围,资源需求项、对应任务、消耗方式和计量单位；验收要点：每个方案任务均能映射到必要资源，资源类别不重不漏。,不估算具体数量、费用，不分配或采购资源。,研究方案
34,req_003,资源估算,sub_034,获取资源估算基线,获取历史实验、公开基准、硬件性能、服务价格和已有配额等估算依据。,待估任务、允许来源、历史记录、硬件或服务候选和基准筛选条件,可追溯的性能、用量、价格和配额基线；验收要点：记录来源时间、适用配置、计量单位和与当前任务的差异。,不直接将不同条件下的历史结果套用于当前任务，不执行性能测试或采购。,文献与外部证据
35,req_003,资源估算,sub_035,估算数据资源需求和成本,估算研究所需数据量、采集量、标注量、处理量、存储量、备份量、传输量及相应费用。,样本量、单样本大小、数据格式、处理阶段、版本数量、备份策略、保留周期、采集与标注规则及单价,数据数量、容量、处理与传输规模、分项成本、参数假设和不确定区间；验收要点：区分原始、中间和最终数据，费用可由用量和单价复算。,不采集、标注或处理数据，不核验数据质量与许可证，不购买数据服务。,研究方案
36,req_003,资源估算,sub_036,估算计算资源需求和成本,根据数据规模、模型、实验数量、性能基线和计费规则估算算力、显存、内存、存储、运行时长及计算费用。,数据规模、模型规模、实验数量、重复次数、硬件性能基线、并行假设、资源单价和不确定性要求,计算资源规格、数量、使用时长、容量约束、分项成本、参数假设和不确定区间；验收要点：需求可由工作负载复算，成本可由资源数量、时长和单价复算。,不分配、采购或配置计算资源，不执行基准测试和实验运行。,研究方案
37,req_003,资源估算,sub_037,估算外部服务需求和成本,估算研究所需API、数据库、云平台、标注、仪器、咨询或其他外部服务的用量与费用。,研究任务、服务接口、调用或使用规则、任务规模、服务限制、计费单位和单价,服务类型、调用量或使用时长、容量与配额要求、分项成本、假设和不确定区间；验收要点：费用能够由预计用量和计费规则复算。,不选择供应商，不购买、开通或调用外部服务。,研究方案
38,req_003,资源估算,sub_038,估算人员投入和工时,根据研究任务、角色要求、任务复杂度和生产率基线估算所需角色、人数和工时。,研究任务、角色能力要求、工作量、历史生产率、并行条件和不确定性要求,角色类别、人员数量、人员工时、投入时段、参数假设和不确定区间；验收要点：每项工时能够映射到具体研究任务和角色。,不指定具体人员，不进行招聘、薪酬决定、绩效评价或任务分配。,研究方案
39,req_003,资源估算,sub_039,识别资源瓶颈,根据各类资源需求和可用上限识别最可能限制研究规模、速度或完成条件的资源。,数据、计算、服务、人员和时间估算，可用资源、配额、预算与容量上限,关键资源瓶颈、影响任务、触发条件、敏感参数和影响范围；验收要点：每项瓶颈均能回溯到需求与供给之间的具体差距。,不负责解决瓶颈，不修改研究方案，不调度或采购资源。,研究方案
40,req_003,资源估算,sub_040,估算研究周期,根据工作量、资源并行度、任务等待时间和必要前后关系估算完成周期。,研究任务、工作负载、资源可用性、必要依赖、并行限制、等待时间和不确定性要求,总周期、分阶段时长、关键时间约束、参数假设和不确定区间；验收要点：周期可由工作量、并行度、依赖和等待时间复算。,只估计时间，不生成详细任务排期、负责人安排或实施步骤。,研究方案
41,req_003,资源估算,sub_041,比较资源方案,在统一工作负载和约束下比较不同硬件、运行模式、研究规模或外部服务组合的资源、周期和成本差异。,候选资源方案、统一工作负载、比较指标、资源估算、周期估算和硬约束,各方案的资源需求、周期、成本、风险和关键差异；验收要点：所有方案使用一致口径，明确不可比项和适用条件。,不作采购、分配、供应商选择或最终资源配置决策。,研究方案
42,req_003,资源估算,sub_042,撰写资源估算报告,将估算范围、依据、参数、分项需求、成本、周期、瓶颈和不确定性组织为可审阅文档。,资源需求识别结果、估算基线、分项估算、比较结果、参数来源和目标受众,可复算、可追溯的资源估算报告；验收要点：每项结果说明公式或推断方法、参数来源、适用范围和不确定区间。,不扩展为采购方案、资源分配方案或完整项目实施计划。,研究方案
43,req_003,资源估算,sub_043,规划研究实施,将研究目标分解为具有先后依赖和交付物的实施步骤。,研究目标、已确定的研究方案、资源估算、可用资源、约束、依赖和完成条件,包含步骤、依赖、资源、顺序和完成条件的行动计划；验收要点：每一步具有输入、输出、依赖和完成条件，顺序不存在未满足的前置条件。,不负责运行步骤，不执行资源采购、分配或实验调度。,研究方案
44,req_004,实验设计,sub_044,明确实验设计目标,将研究问题和假设转换为实验需要验证、比较或估计的具体目标。,研究问题、研究假设、预期贡献、研究方法和约束,实验目标、目标命题、必要证据和成功判定方向；验收要点：每个目标能够回溯到研究问题或假设。,不重新定义研究问题，不选择具体方法实现，不运行实验。,研究方案
45,req_004,实验设计,sub_045,定义实验对象与分析单位,规定实际进入实验的对象、单位、层级及观察粒度。,研究对象、研究范围、实验目标、数据结构和纳入排除条件,实验对象、实验单位、观察单位、分析单位及层级关系；验收要点：各单位定义明确，统计分析层级与实验分配层级的关系可追溯。,不选择具体样本，不估算样本量，不执行抽样。,研究方案
46,req_004,实验设计,sub_046,操作化实验变量,将研究变量转换为可施加、观察、记录或计算的实验变量。,研究变量、实验对象、测量条件、实验目标和方法约束,实验变量的角色、操作方式、测量规则、取值、单位和适用条件；验收要点：每个变量均可在流程中被施加、观察或记录。,不执行变量处理，不采集数据，不实现测量代码。,研究方案
47,req_004,实验设计,sub_047,设计随机化方案,规定样本分配、处理顺序、任务顺序或运行顺序的随机化方法和约束。,实验单位、处理条件、分层因素、平衡要求、偏倚风险和复现要求,随机化单位、方法、约束、种子管理原则和平衡检查规则；验收要点：随机化能够降低目标偏倚且不破坏必要分层或配对关系。,不执行随机分配，不生成具体实验运行实例。,研究方案
48,req_004,实验设计,sub_048,设计实验对照,为目标实验选择能够隔离关键因素的对照条件和比较组。,设计目标、处理因素、理论或实践依据、潜在混杂、约束和验收要求,包含实验组、对照组、计划差异、保持不变项和比较条件的对照设计规格；验收要点：每个对照组与实验组只在计划比较的关键因素上存在明确差异。,不设计消融模块集合，不执行对照实验。,研究方案
49,req_004,实验设计,sub_049,设计消融实验,针对方法组件或机制设计移除、替换或关闭条件，以检验其独立贡献。,待验证方法、组件关系、机制假设、评价指标、约束和验收要求,消融条件、待验证组件、保持不变项和预期比较关系；验收要点：每个待验证组件均对应明确消融条件和比较指标。,不执行消融实验，不对尚未产生的结果作贡献结论。,研究方案
50,req_004,实验设计,sub_050,设计重复实验,规定独立重复、交叉验证、随机种子和结果聚合要求，以估计随机变异并支持复现。,实验单位、方差来源、实验流程、资源约束、稳定性要求和统计计划,重复类型、重复次数、重复单位、随机种子原则和聚合规则；验收要点：重复设置能够覆盖主要随机性来源且与统计分析计划一致。,不运行重复实验，不生成实际指标或调度任务。,研究方案
51,req_004,实验设计,sub_051,设计超参数调优协议,规定超参数空间、搜索方法、搜索预算、验证数据、选择规则和公平调优条件。,研究方法、候选超参数、验证指标、数据划分、搜索预算和公平性要求,超参数空间、搜索策略、预算、验证数据、选择规则和信息隔离要求；验收要点：不同方法的调优机会可比较，测试数据不参与选择。,不执行调参，不依据测试集结果选择参数，不实现搜索代码。,研究方案
52,req_004,实验设计,sub_052,定义评价指标,在尚无既定口径时规定任务特定的衡量指标及计算规则。,需要确立边界的评价指标、使用目的、已有依据、数据范围和约束,具有名称、含义、边界、公式或计算规则、方向和适用数据范围的评价指标定义；验收要点：异常值、缺失值和不可计算情形有明确处理规则。,不从现成候选指标中选型或实现代码。,研究方案
53,req_004,实验设计,sub_053,定义研究验收标准,规定研究任务或实验交付被视为完成和合格的可观察条件。,研究目标、评价指标、交付要求、风险、约束和验收用途,验收项、判定数据、阈值或规则以及通过或不通过条件；验收要点：每项标准均可由指定数据、测试或产物作出判断。,不替代评价指标本身，不以必须获得正向科学结论作为完成条件。,研究方案
54,req_004,实验设计,sub_054,设计稳健性实验,规定在噪声、扰动、缺失、分布变化或运行变化下检验结论稳定性的实验条件。,主要实验设计、已知扰动、风险场景、稳健性目标、资源约束和评价指标,扰动类型、强度、实验条件、保持不变项、比较指标和失败判据；验收要点：扰动覆盖主要预期风险且不改变非目标因素。,不执行稳健性实验，不等同于关键参数敏感性分析。,研究方案
55,req_004,实验设计,sub_055,设计敏感性分析,规定改变关键参数、假设或分析选择时检查研究结论变化的方式。,关键参数、模型假设、分析选择、合理变化范围和主要评价结果,敏感参数、变化范围、分析组合、比较规则和稳定性判断条件；验收要点：覆盖可能实质影响结论的参数和假设。,不执行分析，不通过任意调整参数追求预期结论。,研究方案
56,req_004,实验设计,sub_056,设计实验流程,规定实验对象、变量操作、运行步骤和数据记录流程。,实验目标、实验对象、变量、处理和对照条件、评价要求、约束和验收要求,从输入到输出可复现的实验流程、步骤关系、关键记录点和完成条件；验收要点：关键变量、版本、输入、输出和记录点完整。,不设计比较对照或消融项，不执行流程。,研究方案
57,req_004,实验设计,sub_057,设计实验记录规范,规定实验配置、版本、随机种子、日志、检查点、中间产物和结果的记录要求。,实验流程、复现要求、审计要求、产物类型和存储约束,必记字段、标识规则、记录时机、保存对象、关联关系和保留要求；验收要点：一次运行可由记录唯一识别并关联到代码、数据、配置和产物版本。,不实际记录运行数据，不配置日志系统，不打包研究资产。,研究方案
58,req_004,实验设计,sub_058,设计实验停止规则,规定实验正常完成、无效运行、安全风险、资源超限和提前停止的判定条件。,实验目标、流程、资源上限、安全要求、统计规则、失败条件和验收要求,停止条件、触发数据、判定方式、停止后状态和禁止继续条件；验收要点：停止规则可在实验前判定，且不依赖是否出现期望结果。,不实际终止实验，不根据结果方向任意停止。,研究方案
59,req_004,实验设计,sub_059,识别实验有效性风险,识别实验设计中的构念偏差、选择偏差、混杂、数据泄漏、测量偏差和统计风险。,完整实验设计、变量关系、数据流程、评价规则、统计计划和风险分类标准,有效性风险、影响环节、触发条件、潜在后果和已有控制措施；验收要点：覆盖内部、构念、统计结论和外部有效性风险。,不执行风险修复，不分析实际实验结果。,研究方案
60,req_004,实验设计,sub_060,评估实验设计可行性,根据数据、资源、权限、伦理和时间条件判断实验设计能否按预期实施。,实验设计、资源估算、数据条件、实现条件、权限、伦理要求和时间约束,可行、条件可行或不可行的判断，成立条件、主要阻碍和关键未知项；验收要点：每项判断对应具体设计组成和约束证据。,不重新估算资源，不选择抽象研究方法，不执行实验。,研究方案
61,req_004,实验设计,sub_061,核验实验设计,检查研究问题、假设、变量、对照、流程、指标、统计计划和记录规则是否完整且内部一致。,完整实验设计、研究问题、研究假设、核验标准和约束,核验结论、缺失项、冲突、泄漏路径和修订建议；验收要点：每个假设均有对应实验条件、指标和分析方法，流程不存在未满足的前置条件。,不执行实验，不依据结果偏好改变核验标准。,研究方案
62,req_004,实验设计,sub_062,撰写实验设计文档,将目标、对象、变量、随机化、对照、消融、流程、指标、统计、记录和停止规则组织成可审阅协议。,已核验的实验设计、设计依据、适用范围、约束和目标受众,可审阅、可执行、可追溯的实验设计文档；验收要点：设计要素完整，术语一致，并能从研究问题追溯到实验与评价规则。,不扩展为项目排期、资源采购方案、代码实现或实验运行日志。,研究方案
63,req_005,环境配置,sub_063,配置GPU服务器环境,配置可访问的GPU计算实例及其系统级运行条件。,可配置的计算环境、参数要求、目标状态和约束,达到目标参数状态且可复现的计算环境和配置记录；验收要点：实例规格符合要求，GPU驱动和设备可被系统正确识别。,不安装项目依赖。,环境
64,req_005,环境配置,sub_064,安装项目环境依赖,按项目要求安装语言运行时和依赖包。,可配置的计算环境、参数要求、目标状态和约束,达到目标参数状态且可复现的计算环境和配置记录；验收要点：依赖清单中的组件均可导入或调用，安装过程可复现。,不处理版本冲突。,环境
65,req_005,环境配置,sub_065,修复环境依赖冲突,根据已确认的冲突原因调整依赖版本或环境配置，恢复目标入口的可运行状态。,已定位的依赖冲突、目标版本约束、当前环境和验证入口,冲突解除的环境、依赖变更记录和入口通过证据,不负责定位未知冲突，不新增业务代码。,环境
66,req_005,环境配置,sub_066,构建运行容器,将系统依赖、项目依赖和启动方式固化为容器构建定义。,既定规格、接口约束、验收条件和可用实现环境,符合规格且可执行、可调用或可操作的计算环境实例；验收要点：容器可从干净环境构建，并通过同一入口产生一致的基础运行结果。,不负责调度容器。,环境
67,req_005,环境配置,sub_067,诊断环境依赖冲突,根据依赖清单、版本约束和失败日志，定位包、运行时或系统库的版本冲突原因。,依赖清单、锁定文件、运行时版本、错误日志和可复现失败,冲突依赖项、不兼容约束、根因证据和影响范围,只定位原因，不修改依赖版本或环境配置。,环境
68,req_005,环境配置,sub_068,核验计算环境,依据环境规格和检查用例，核验依赖、设备、入口和复现条件是否成立。,计算环境、环境规格、检查用例和预期资源状态,通过或不通过的结论、测试证据、环境差异和问题位置,不修复发现的环境问题，不运行正式实验。,环境
69,req_006,资源获取,sub_069,获取模型资产,下载或导入指定模型权重、配置和必要处理器。,已知来源、目标版本、目标工作空间和完整性要求,工作空间内完整可用的研究资产实例，以及来源和版本记录；验收要点：资产版本正确、文件完整，模型组件清单无缺失。,不负责加载运行。,数据；代码
70,req_006,资源获取,sub_070,检索研究数据源,查找满足研究主题和访问条件的候选数据来源。,检索目标、检索范围、查询条件和允许使用的来源,候选数据清单，以及每项候选的位置、标识和来源记录；验收要点：每个候选源均提供可访问地址、数据范围和来源说明。,不下载或核验数据内容。,文献与外部证据；数据
71,req_006,资源获取,sub_071,获取研究数据,从已确定来源下载或导入研究数据。,已知来源、目标版本、目标工作空间和完整性要求,工作空间内完整可用的数据实例，以及来源和版本记录；验收要点：数据文件完整可读，数量或校验值与来源记录一致。,不执行清洗和质量判断。,数据
72,req_006,资源获取,sub_072,核验研究数据身份,确认所获数据的来源、版本和内容范围符合研究要求。,待核验命题、核验标准、目标范围和可追溯证据,关于数据命题的成立判断、差异清单和可追溯证据；验收要点：来源、版本、规模和关键标识均有可追溯记录。,不评价数据质量。,数据
73,req_006,资源获取,sub_073,获取计算资源,根据资源需求和配额约束，选择并分配可访问的计算资源。,资源需求、候选资源、访问权限、配额和时间约束,已分配且可访问的计算资源、规格和调度记录,不安装项目依赖，不执行正式实验。,环境
74,req_007,数据解析,sub_074,解释数据字段,结合数据文档和样本说明字段的语义、单位和取值编码。,待解释的数据、相关上下文和可用机制证据,对数据意义、关系或机制的解释及对应证据；验收要点：每个关键字段具有来源支持的定义、单位和缺失值约定。,不判断质量。,数据
75,req_007,数据解析,sub_075,解析数据结构,识别数据表、字段、类型、约束和关联结构。,待解析的数据、结构约定和解析范围,数据的显式结构、组成关系或执行关系表示；验收要点：Schema描述覆盖全部实际字段，类型和关联可由数据验证。,不解释字段的科研含义。,数据
76,req_007,数据解析,sub_076,评估数据质量,量化数据的完整性、有效性、一致性和分布异常。,待评估的数据、评价指标或标准、证据和参照基线,按照标准形成的数据程度或优劣判断、指标和证据；验收要点：输出可复算的质量统计及问题记录，并关联受影响数据范围。,不直接修改数据。,数据
77,req_007,数据解析,sub_077,核验数据使用合规性,核对数据获取、处理、再分发和商业使用是否符合许可证或使用条款。,待核验命题、核验标准、目标范围和可追溯证据,关于数据命题的成立判断、差异清单和可追溯证据；验收要点：每个数据源均记录许可证、允许用途和禁止事项，无法确认时明确标记未知。,不执行隐私脱敏。,数据
78,req_007,数据解析,sub_078,评估统计功效,在给定样本量、效应和显著性水平下评估检出目标效应的概率。,待评估的研究方案、评价指标或标准、证据和参照基线,按照标准形成的研究方案程度或优劣判断、指标和证据；验收要点：功效结果可复算，并明确所用效应量、样本量和检验假设。,不替代样本量设计。,研究方案
79,req_008,数据预处理,sub_079,转换数据格式,按实验条件将已有或生成样本组织为具有明确结构的数据集。,待转换的处理数据、转换规则、目标表示和语义保持条件,符合目标表示与转换规则的处理数据和转换记录；验收要点：数据集满足实验所需字段、数量和条件组合，并附构造清单。,不负责训练验证测试划分。,数据
80,req_008,数据预处理,sub_080,脱敏研究数据,删除、替换或泛化能够识别个人或敏感对象的信息。,已有原始数据、变更请求、影响范围和保持条件,满足变更要求且未破坏保持条件的新版原始数据；验收要点：约定敏感字段均被处理，抽查无法从处理结果恢复禁止披露的信息。,不负责合规判断。,数据
81,req_008,数据预处理,sub_081,处理缺失值,识别缺失模式并按明确策略删除、填补或保留缺失值。,含缺失值的数据、字段语义、缺失统计、数据划分和处理策略,缺失值已按策略处理的数据、处理记录及处理前后缺失统计,只处理缺失值及其缺失模式；不处理异常值、重复样本、类别失衡或数据泄漏。,数据
82,req_008,数据预处理,sub_082,处理异常值,依据领域或统计规则识别并处置异常观测。,候选异常观测、异常判定规则、字段语义和处置策略,异常值已按规则处置的数据、异常样本清单及处置记录,只处理按明确规则判定的异常观测；不处理缺失值、重复样本或类别失衡。,数据
83,req_008,数据预处理,sub_083,去除重复样本,按照明确身份或相似度规则识别并去除重复记录。,含候选重复样本的数据、身份或相似度规则及保留策略,去重后的数据、重复组清单及样本保留或删除记录,只处理按身份或相似度规则判定的重复样本；不处理缺失值、异常值或类别失衡。,数据
